,duracion_estadia,genero,edad,ninos,tipo_acomodacion,COL,ES,IT,NL,PE,UK,US
58,5,0,42,0,1,0,0,0,0,0,0,1
60,5,0,37,0,1,0,0,0,0,0,0,1
61,7,0,40,0,0,0,1,0,0,0,0,0
63,2,0,44,1,0,0,1,0,0,0,0,0
65,5,1,46,1,0,0,0,0,1,0,0,0
66,2,1,42,0,1,0,0,1,0,0,0,0
67,5,1,42,0,1,1,0,0,0,0,0,0
68,3,1,40,1,1,0,0,0,0,0,0,0
69,5,1,42,0,1,0,1,0,0,0,0,0
70,4,1,41,1,0,0,0,0,0,0,0,0
71,5,1,36,1,1,0,0,0,0,0,1,0
72,1,1,40,1,1,0,0,0,0,0,0,1
74,3,1,39,1,1,0,0,0,0,0,0,1
75,3,0,42,1,1,1,0,0,0,0,0,0
77,7,0,41,1,1,0,0,0,1,0,0,0
78,1,0,41,1,1,0,0,0,0,0,1,0
80,3,1,44,0,0,0,0,0,0,0,1,0
81,3,1,33,0,1,0,0,0,0,1,0,0
82,5,0,40,0,0,1,0,0,0,0,0,0
84,5,1,44,0,1,0,0,0,0,1,0,0
85,4,0,39,1,0,1,0,0,0,0,0,0
86,4,1,45,0,1,0,0,1,0,0,0,0
87,5,1,54,0,1,0,1,0,0,0,0,0
88,5,1,44,0,1,0,1,0,0,0,0,0
90,5,1,47,0,1,0,0,0,0,0,0,1
92,4,1,40,1,1,0,0,1,0,0,0,0
93,6,0,36,0,1,0,0,0,1,0,0,0
94,2,0,33,0,1,0,0,0,0,1,0,0
95,4,1,40,1,0,0,0,0,0,1,0,0
96,3,1,31,1,1,0,0,1,0,0,0,0
97,1,1,29,1,1,0,1,0,0,0,0,0
98,7,1,37,0,0,0,0,0,1,0,0,0
99,5,0,42,0,0,0,0,0,0,1,0,0
100,4,0,47,0,0,0,0,0,0,1,0,0
101,1,0,40,0,1,0,0,0,0,0,0,1
102,5,0,41,1,1,0,1,0,0,0,0,0
103,4,0,40,1,0,0,0,0,1,0,0,0
104,4,0,33,0,1,0,0,0,0,0,1,0
105,9,0,39,0,1,1,0,0,0,0,0,0
106,4,0,36,0,1,1,0,0,0,0,0,0
107,4,0,37,0,1,0,0,0,1,0,0,0
108,1,0,36,1,0,0,0,0,1,0,0,0
109,3,0,38,1,0,0,1,0,0,0,0,0
110,5,0,43,0,1,0,1,0,0,0,0,0
111,2,0,37,1,0,0,0,0,1,0,0,0
112,4,1,41,0,1,0,0,0,1,0,0,0
113,4,0,40,1,1,1,0,0,0,0,0,0
114,5,0,38,0,1,0,0,0,0,0,1,0
116,4,0,38,1,0,0,0,0,1,0,0,0
117,3,0,41,1,1,0,0,0,1,0,0,0
118,2,0,48,1,1,0,0,1,0,0,0,0
119,6,1,34,0,0,1,0,0,0,0,0,0
120,5,0,45,1,1,0,0,0,0,0,0,1
121,4,0,37,1,0,0,0,0,0,0,0,0
122,3,0,39,0,1,0,0,0,0,0,0,0
123,9,1,45,1,1,0,0,1,0,0,0,0
124,5,1,34,0,0,0,0,0,0,0,0,0
125,5,0,40,0,0,0,0,1,0,0,0,0
126,9,0,43,0,0,0,0,0,0,0,0,1
127,3,0,40,0,0,1,0,0,0,0,0,0
128,3,0,42,1,0,0,0,0,0,1,0,0
130,1,1,41,1,0,0,0,0,0,0,1,0
131,4,1,41,1,0,0,0,0,0,0,0,0
133,3,1,42,0,1,0,0,0,0,0,1,0
135,1,0,37,0,1,0,0,1,0,0,0,0
136,3,0,42,0,0,0,0,0,0,0,0,1
137,2,0,33,0,1,0,0,1,0,0,0,0
138,6,0,38,1,0,0,1,0,0,0,0,0
139,8,1,40,1,1,0,0,0,1,0,0,0
140,3,1,41,1,0,0,0,1,0,0,0,0
141,2,1,40,1,1,1,0,0,0,0,0,0
142,3,0,40,0,1,1,0,0,0,0,0,0
143,5,1,32,1,1,0,0,0,1,0,0,0
147,2,1,50,1,0,0,1,0,0,0,0,0
148,5,0,35,0,0,0,0,0,0,1,0,0
150,3,1,38,0,0,0,0,0,1,0,0,0
151,8,1,38,0,0,0,0,0,0,0,1,0
153,2,1,39,1,1,1,0,0,0,0,0,0
154,4,0,40,1,0,0,0,0,0,0,1,0
156,7,0,46,1,1,0,0,0,0,0,1,0
157,5,1,45,0,1,0,0,0,1,0,0,0
158,4,0,39,0,1,0,0,0,0,0,0,0
159,2,0,43,1,1,0,0,0,0,0,0,0
161,3,0,40,0,1,0,0,1,0,0,0,0
163,4,0,42,1,1,0,1,0,0,0,0,0
164,3,1,48,0,1,0,0,1,0,0,0,0
165,4,0,41,0,0,1,0,0,0,0,0,0
167,2,0,38,1,1,0,1,0,0,0,0,0
169,1,0,45,0,0,0,0,0,0,0,1,0
170,5,0,42,0,1,0,0,0,0,1,0,0
171,5,0,37,1,0,0,0,1,0,0,0,0
172,4,1,34,1,0,0,0,0,1,0,0,0
173,4,0,42,0,0,0,0,0,0,0,1,0
174,3,0,36,0,1,0,0,0,0,0,0,1
175,1,1,40,1,1,0,0,0,0,0,0,1
177,5,1,40,0,0,0,1,0,0,0,0,0
178,5,0,42,0,0,0,0,0,0,0,0,0
179,5,1,41,1,0,1,0,0,0,0,0,0
180,1,1,48,1,1,0,0,0,0,1,0,0
181,5,0,42,0,0,0,0,0,1,0,0,0
182,4,0,40,0,1,1,0,0,0,0,0,0
183,5,0,40,1,1,0,0,0,0,0,0,1
184,6,1,41,1,0,0,0,1,0,0,0,0
185,4,1,40,0,0,0,0,0,0,0,0,0
186,2,1,39,0,1,0,0,0,0,0,0,1
187,4,0,42,1,1,0,0,0,0,0,0,0
188,5,1,43,1,0,0,0,1,0,0,0,0
189,2,1,40,0,0,0,0,0,0,0,0,0
190,4,0,32,1,0,0,1,0,0,0,0,0
191,3,1,40,1,1,1,0,0,0,0,0,0
192,6,0,40,1,1,1,0,0,0,0,0,0
193,7,1,40,1,0,0,0,0,1,0,0,0
194,12,1,38,1,1,0,0,1,0,0,0,0
195,5,0,38,0,1,0,0,1,0,0,0,0
197,7,1,43,0,1,0,0,1,0,0,0,0
198,6,1,38,1,1,0,1,0,0,0,0,0
199,8,0,43,1,1,0,0,1,0,0,0,0
200,2,1,41,0,1,0,0,0,0,0,1,0
201,4,1,47,1,0,0,0,0,1,0,0,0
203,6,1,44,1,0,0,0,1,0,0,0,0
204,3,1,49,1,0,0,0,0,1,0,0,0
205,1,0,35,0,1,0,0,0,0,0,0,0
206,6,0,36,1,0,0,0,0,0,0,1,0
207,5,1,36,0,1,0,1,0,0,0,0,0
208,2,1,40,1,0,0,0,0,1,0,0,0
210,3,0,38,0,1,0,1,0,0,0,0,0
211,3,1,35,1,1,0,0,1,0,0,0,0
212,5,0,36,1,0,0,0,0,0,1,0,0
213,4,1,29,0,0,1,0,0,0,0,0,0
214,2,0,40,1,0,0,0,0,0,0,0,1
215,6,0,41,0,1,0,0,0,0,0,1,0
216,3,0,35,0,1,0,1,0,0,0,0,0
217,3,1,30,0,0,0,0,0,0,0,1,0
218,3,1,46,0,1,0,0,0,0,0,1,0
219,3,0,43,1,1,0,0,0,0,0,0,0
220,2,0,41,1,1,0,0,0,0,0,1,0
221,4,0,34,0,1,0,0,0,0,0,1,0
222,3,1,42,1,0,0,0,0,1,0,0,0
223,3,0,46,1,1,0,0,0,0,0,0,1
224,4,0,39,1,0,0,1,0,0,0,0,0
225,5,0,42,1,1,0,0,0,0,1,0,0
227,5,0,41,1,1,0,0,0,0,0,0,0
228,5,0,40,0,1,1,0,0,0,0,0,0
229,5,0,40,1,0,0,1,0,0,0,0,0
230,4,1,48,1,0,1,0,0,0,0,0,0
231,8,1,42,1,0,0,0,0,0,0,1,0
232,3,0,40,1,0,0,0,1,0,0,0,0
233,2,0,43,0,0,0,0,0,0,0,1,0
234,5,0,40,1,0,0,0,0,0,0,0,1
235,4,0,44,0,0,0,0,0,0,1,0,0
236,1,1,41,1,1,0,0,0,1,0,0,0
237,8,0,39,1,0,0,0,0,1,0,0,0
238,3,0,45,0,0,1,0,0,0,0,0,0
239,3,1,35,1,1,0,0,0,0,1,0,0
241,6,0,38,0,1,0,0,0,0,0,0,0
242,5,0,38,1,0,1,0,0,0,0,0,0
243,6,1,40,0,1,0,1,0,0,0,0,0
244,7,0,38,0,1,0,0,1,0,0,0,0
245,1,0,31,0,1,0,1,0,0,0,0,0
246,4,0,35,1,0,0,0,1,0,0,0,0
247,4,0,40,0,0,0,1,0,0,0,0,0
248,3,1,29,0,0,1,0,0,0,0,0,0
249,4,1,41,1,0,0,0,1,0,0,0,0
250,2,0,38,0,1,0,0,0,0,0,0,0
251,2,1,47,0,1,0,1,0,0,0,0,0
253,5,0,44,0,0,0,0,0,0,1,0,0
255,4,0,46,1,1,0,0,0,0,0,0,0
257,3,1,29,1,1,0,0,0,0,1,0,0
258,6,0,47,0,1,0,0,0,0,0,0,1
259,3,1,41,0,1,0,0,1,0,0,0,0
261,3,1,40,1,1,0,0,1,0,0,0,0
262,3,0,37,1,0,0,1,0,0,0,0,0
263,9,0,40,1,0,0,0,0,0,0,1,0
264,4,0,40,1,1,1,0,0,0,0,0,0
265,4,0,40,0,1,0,0,0,0,0,0,1
266,7,1,46,1,0,0,0,0,1,0,0,0
267,3,1,45,1,0,0,0,0,1,0,0,0
268,3,1,51,1,0,0,0,1,0,0,0,0
270,3,0,40,1,0,0,0,0,0,0,0,1
271,4,0,43,0,0,0,1,0,0,0,0,0
272,5,1,39,1,1,0,0,0,0,1,0,0
273,4,1,45,0,1,1,0,0,0,0,0,0
274,3,1,37,1,1,1,0,0,0,0,0,0
275,4,0,41,1,0,0,0,1,0,0,0,0
276,3,1,40,0,0,0,0,0,0,0,1,0
277,2,1,37,0,0,0,0,0,0,0,0,0
278,3,1,46,0,1,0,0,0,0,0,1,0
279,7,0,32,1,0,0,0,1,0,0,0,0
280,2,0,39,1,0,0,0,0,0,1,0,0
281,3,1,45,1,0,0,0,1,0,0,0,0
282,5,0,39,0,1,0,0,0,0,1,0,0
283,3,0,35,0,1,0,0,0,0,0,1,0
284,6,1,51,1,1,0,0,0,0,0,0,1
285,4,1,40,0,0,0,0,0,1,0,0,0
286,5,0,30,0,1,0,0,0,0,0,0,1
287,4,1,47,0,1,0,0,0,0,0,0,1
288,3,1,38,1,1,0,0,1,0,0,0,0
289,3,0,36,0,0,0,0,0,0,1,0,0
290,2,0,40,0,1,0,0,1,0,0,0,0
291,4,0,32,0,1,0,1,0,0,0,0,0
292,6,0,37,0,1,0,0,0,0,1,0,0
293,4,0,42,1,1,1,0,0,0,0,0,0
295,4,1,45,0,1,0,0,0,1,0,0,0
297,4,1,42,0,1,0,0,0,0,1,0,0
299,3,1,39,0,1,0,0,0,0,0,1,0
301,6,0,32,1,0,1,0,0,0,0,0,0
305,2,0,51,0,0,0,0,0,0,1,0,0
306,3,0,44,0,0,1,0,0,0,0,0,0
307,4,0,49,1,1,0,0,0,0,0,0,0
308,5,0,35,0,1,0,0,0,1,0,0,0
309,5,1,33,0,0,1,0,0,0,0,0,0
311,8,1,31,1,1,0,0,1,0,0,0,0
313,7,0,39,0,1,0,0,0,0,1,0,0
314,3,1,36,1,1,0,0,0,0,0,0,1
315,4,0,45,1,1,0,0,0,0,0,0,1
316,1,1,36,1,1,0,0,0,1,0,0,0
317,4,1,42,0,1,0,0,0,0,0,0,1
318,3,0,38,1,0,0,0,0,0,0,0,0
319,5,1,38,1,1,0,1,0,0,0,0,0
320,2,1,38,0,1,0,0,0,0,0,0,1
321,2,1,41,0,1,0,0,0,1,0,0,0
322,4,0,40,1,0,0,0,0,1,0,0,0
323,6,1,42,1,0,0,0,0,1,0,0,0
325,7,0,40,1,0,0,0,0,0,0,0,1
326,4,0,43,1,1,0,0,0,0,0,0,0
328,2,0,38,0,0,0,0,1,0,0,0,0
330,5,1,40,0,0,0,0,1,0,0,0,0
331,6,1,32,1,1,0,0,0,0,0,1,0
332,4,0,37,1,1,0,1,0,0,0,0,0
333,3,1,33,1,1,0,0,0,0,0,0,0
335,6,1,40,1,0,0,0,0,1,0,0,0
336,4,0,40,0,0,0,1,0,0,0,0,0
337,4,0,51,0,0,1,0,0,0,0,0,0
338,2,0,40,1,0,0,0,1,0,0,0,0
339,6,1,40,1,1,0,0,0,0,1,0,0
342,2,0,37,0,1,0,0,1,0,0,0,0
343,6,1,40,0,1,0,0,1,0,0,0,0
344,4,1,40,0,0,0,0,0,0,0,0,0
345,5,1,36,1,1,0,0,1,0,0,0,0
346,2,1,40,0,1,0,0,1,0,0,0,0
347,2,0,40,0,1,0,0,0,0,1,0,0
348,5,1,36,1,1,0,0,0,1,0,0,0
349,6,0,41,0,0,0,0,0,1,0,0,0
350,2,0,48,1,1,0,0,1,0,0,0,0
351,5,1,37,1,1,0,0,0,1,0,0,0
352,7,1,46,0,0,1,0,0,0,0,0,0
353,4,0,50,0,0,0,0,0,0,0,0,1
354,5,0,40,0,1,0,0,0,1,0,0,0
355,6,1,36,0,1,0,0,0,0,0,0,1
356,5,0,42,1,1,0,0,0,0,0,0,1
358,7,1,40,1,1,0,0,0,0,0,0,1
359,5,1,39,0,1,0,0,0,0,0,1,0
360,7,1,40,0,0,0,0,0,1,0,0,0
361,2,1,46,0,1,0,0,0,0,0,0,0
362,1,0,39,0,1,0,0,0,0,0,1,0
363,5,0,26,0,1,0,0,0,1,0,0,0
364,4,0,36,0,1,0,0,1,0,0,0,0
365,3,0,40,1,0,1,0,0,0,0,0,0
366,3,0,38,1,0,0,0,0,0,1,0,0
367,4,1,35,1,1,0,1,0,0,0,0,0
368,7,0,43,0,0,0,0,0,1,0,0,0
369,5,0,44,0,0,1,0,0,0,0,0,0
370,4,0,35,0,1,0,0,0,1,0,0,0
371,4,1,35,0,0,0,0,1,0,0,0,0
372,5,1,40,1,1,0,1,0,0,0,0,0
373,3,1,40,0,0,0,1,0,0,0,0,0
374,7,0,40,0,1,0,0,0,0,0,0,0
375,3,1,40,0,1,0,0,0,0,0,1,0
376,3,1,39,0,0,0,0,0,0,0,1,0
377,3,1,40,1,1,0,0,0,0,0,1,0
378,3,1,41,0,1,0,0,0,0,1,0,0
380,3,1,42,1,0,0,0,0,0,0,1,0
382,5,1,46,0,1,0,0,0,0,0,0,1
383,8,1,38,1,1,0,0,0,0,1,0,0
385,1,1,40,1,1,0,0,0,0,0,0,0
386,3,0,44,1,0,0,1,0,0,0,0,0
387,5,1,45,0,1,0,0,0,0,0,0,1
388,4,0,38,0,1,0,1,0,0,0,0,0
389,5,1,49,1,0,0,0,1,0,0,0,0
390,4,1,49,0,1,0,0,0,0,1,0,0
391,4,1,42,1,0,0,0,0,0,0,1,0
392,3,1,42,1,0,0,0,0,0,0,1,0
393,4,0,34,0,1,0,0,1,0,0,0,0
394,5,1,33,0,0,0,0,0,0,1,0,0
396,4,1,45,0,1,0,1,0,0,0,0,0
398,2,0,37,1,0,0,1,0,0,0,0,0
399,5,0,35,0,1,0,0,1,0,0,0,0
402,5,1,37,0,1,0,0,0,0,1,0,0
403,4,0,35,1,0,0,0,0,0,0,0,0
404,1,0,37,1,0,0,0,0,0,1,0,0
405,7,1,41,1,0,0,0,0,0,0,0,0
406,3,1,40,1,1,0,0,0,0,1,0,0
407,1,0,37,1,0,0,0,0,1,0,0,0
408,6,0,45,0,0,0,0,0,0,0,0,0
409,3,1,37,1,1,1,0,0,0,0,0,0
410,5,1,40,1,1,0,0,0,0,0,0,1
411,2,0,41,0,0,0,0,1,0,0,0,0
412,7,1,44,1,0,0,0,0,0,1,0,0
414,8,1,45,1,0,0,0,0,1,0,0,0
415,6,1,40,1,1,0,0,1,0,0,0,0
416,5,0,41,0,0,0,1,0,0,0,0,0
418,4,0,41,0,0,0,0,0,1,0,0,0
419,4,0,31,0,1,0,0,0,0,1,0,0
421,4,1,33,1,1,0,1,0,0,0,0,0
422,5,1,38,1,0,0,0,0,1,0,0,0
423,3,1,46,1,1,1,0,0,0,0,0,0
424,6,1,50,0,1,0,0,0,0,1,0,0
425,6,0,40,0,1,0,0,0,1,0,0,0
426,6,1,43,1,0,0,0,0,0,1,0,0
427,7,0,45,1,1,0,0,0,1,0,0,0
428,6,1,40,0,1,1,0,0,0,0,0,0
429,5,0,40,1,0,1,0,0,0,0,0,0
430,4,0,45,0,0,1,0,0,0,0,0,0
431,3,1,44,0,1,0,0,0,0,0,0,1
432,6,0,38,1,0,0,0,0,0,0,1,0
433,3,0,43,1,1,0,0,0,0,0,0,0
434,5,0,40,1,0,0,1,0,0,0,0,0
436,3,1,44,0,1,1,0,0,0,0,0,0
437,3,0,37,1,0,0,0,0,0,0,1,0
438,5,1,40,1,1,0,0,0,0,0,0,0
439,3,1,35,0,0,0,0,0,0,0,0,1
441,2,1,33,1,1,0,0,0,0,0,0,0
443,3,0,39,1,0,0,0,0,0,0,1,0
444,4,0,38,1,1,0,0,0,0,0,0,0
445,5,0,42,0,0,0,0,0,0,0,1,0
447,2,1,41,0,1,0,0,0,0,0,0,1
448,1,0,47,0,0,0,0,0,0,0,1,0
449,2,1,39,1,1,0,0,1,0,0,0,0
451,5,1,39,0,1,0,0,0,0,0,0,0
452,2,0,40,0,1,1,0,0,0,0,0,0
453,4,0,43,1,1,1,0,0,0,0,0,0
454,1,0,41,0,0,0,1,0,0,0,0,0
455,2,0,38,1,1,0,0,0,0,0,1,0
456,4,1,45,0,1,0,0,1,0,0,0,0
457,3,1,42,1,0,1,0,0,0,0,0,0
458,4,0,42,1,1,1,0,0,0,0,0,0
459,3,1,38,0,1,0,0,0,0,0,1,0
460,5,1,35,1,1,0,1,0,0,0,0,0
461,5,0,52,0,1,1,0,0,0,0,0,0
462,4,1,41,1,0,1,0,0,0,0,0,0
463,4,1,39,1,1,0,1,0,0,0,0,0
464,4,0,44,1,0,0,0,0,0,1,0,0
465,4,0,42,1,1,0,0,0,0,0,0,0
466,2,0,52,0,0,0,0,0,0,0,0,0
467,4,1,35,1,1,0,0,0,0,0,1,0
468,6,0,48,1,0,0,0,1,0,0,0,0
470,4,0,36,1,0,0,0,0,0,0,1,0
471,3,0,49,1,1,0,0,0,0,0,1,0
472,3,1,27,0,1,0,0,0,0,1,0,0
473,3,0,41,1,0,0,0,0,1,0,0,0
475,4,0,30,1,0,0,1,0,0,0,0,0
476,8,1,36,0,0,0,1,0,0,0,0,0
477,3,1,43,0,1,0,0,1,0,0,0,0
478,2,1,41,0,1,0,0,0,0,0,0,0
479,3,1,40,0,0,0,0,0,0,0,0,0
480,4,1,39,0,0,0,0,0,0,0,0,1
481,5,1,40,1,0,0,0,0,0,0,0,0
482,5,0,44,1,1,0,0,0,0,1,0,0
483,4,1,48,0,1,0,0,0,0,0,1,0
484,3,0,41,0,0,0,0,1,0,0,0,0
485,4,0,39,1,0,1,0,0,0,0,0,0
486,1,0,44,0,0,0,0,0,0,1,0,0
487,3,1,38,1,1,0,0,1,0,0,0,0
489,5,1,37,0,1,1,0,0,0,0,0,0
491,5,1,40,0,1,0,0,0,0,0,0,1
493,3,1,47,0,0,0,0,1,0,0,0,0
494,2,0,39,0,1,0,0,1,0,0,0,0
495,2,1,40,0,1,0,0,0,0,0,1,0
496,5,0,43,0,1,0,1,0,0,0,0,0
497,1,1,45,0,1,0,0,0,1,0,0,0
498,2,0,33,0,1,0,0,0,0,0,0,1
499,8,1,38,1,1,0,0,0,0,0,0,0
501,4,1,34,0,1,0,0,0,0,0,1,0
502,6,0,40,0,0,0,0,1,0,0,0,0
503,2,0,44,1,0,0,0,0,1,0,0,0
505,3,1,45,0,0,0,0,0,1,0,0,0
506,4,0,44,1,1,1,0,0,0,0,0,0
508,5,0,46,1,1,0,0,1,0,0,0,0
509,4,0,38,1,0,0,0,0,0,0,0,1
510,2,1,42,1,0,0,0,0,1,0,0,0
511,6,1,48,1,1,0,0,0,0,1,0,0
512,4,0,46,0,0,1,0,0,0,0,0,0
513,5,1,35,1,1,1,0,0,0,0,0,0
514,4,0,41,1,1,0,0,0,0,1,0,0
515,4,0,36,1,0,0,0,0,0,0,1,0
516,5,1,38,0,1,0,0,0,0,1,0,0
517,8,0,49,1,1,0,0,0,0,0,0,1
518,4,0,43,1,1,0,0,1,0,0,0,0
519,6,0,46,0,0,0,0,0,0,0,1,0
520,7,0,48,1,1,0,1,0,0,0,0,0
521,6,1,38,0,0,0,0,0,1,0,0,0
523,4,0,40,0,0,1,0,0,0,0,0,0
524,2,0,45,1,1,0,0,0,0,0,0,0
525,5,0,49,0,0,0,0,0,0,1,0,0
527,4,1,39,0,0,0,1,0,0,0,0,0
528,2,0,38,1,0,0,0,0,1,0,0,0
529,5,0,35,1,1,0,0,0,0,0,1,0
530,3,1,50,0,1,0,0,0,0,0,0,1
531,5,1,44,1,1,0,1,0,0,0,0,0
532,3,1,50,1,0,0,0,0,0,0,0,1
533,5,1,45,1,0,0,0,0,1,0,0,0
534,3,1,36,1,1,0,1,0,0,0,0,0
535,6,0,45,0,0,0,0,0,0,0,0,1
536,7,0,38,0,1,1,0,0,0,0,0,0
537,2,0,40,0,0,0,0,1,0,0,0,0
538,3,1,43,1,0,0,0,0,0,0,0,1
540,5,0,39,0,1,0,0,0,0,1,0,0
542,4,0,43,1,0,0,0,0,0,0,0,0
543,3,0,45,1,1,0,0,0,0,0,0,0
545,3,1,38,0,1,0,0,0,0,0,0,0
546,4,0,39,0,1,0,0,0,0,1,0,0
547,3,1,42,0,1,1,0,0,0,0,0,0
549,5,1,41,1,0,0,0,0,0,1,0,0
551,7,1,47,1,0,0,0,0,0,0,0,0
555,3,0,40,1,1,0,0,0,1,0,0,0
557,4,1,45,0,0,0,0,0,0,0,0,0
558,2,0,34,1,0,1,0,0,0,0,0,0
559,3,0,27,0,1,0,0,0,0,1,0,0
560,5,1,40,1,1,0,0,0,0,0,0,1
561,3,1,31,0,0,0,1,0,0,0,0,0
562,3,1,37,1,0,0,0,0,0,1,0,0
564,4,0,41,1,1,1,0,0,0,0,0,0
566,2,0,39,0,0,0,0,0,0,1,0,0
567,1,1,43,0,1,0,0,0,0,0,0,0
569,4,1,44,1,0,0,0,0,0,1,0,0
571,6,0,42,0,0,0,0,0,0,0,1,0
572,3,1,41,1,0,0,0,0,0,0,1,0
574,4,1,40,0,1,1,0,0,0,0,0,0
575,2,0,44,0,0,0,0,0,0,0,0,0
576,2,1,39,1,1,0,0,0,1,0,0,0
577,6,0,48,1,1,0,0,0,1,0,0,0
578,3,1,43,1,0,0,0,0,0,1,0,0
579,7,0,40,1,1,0,1,0,0,0,0,0
580,3,1,40,0,0,1,0,0,0,0,0,0
582,3,0,32,0,1,0,0,0,0,1,0,0
583,4,1,41,0,1,0,0,1,0,0,0,0
584,4,1,45,1,0,1,0,0,0,0,0,0
586,5,1,40,1,0,0,0,0,0,0,0,1
588,5,0,45,1,1,0,0,0,0,0,0,0
589,4,1,46,0,1,0,0,0,1,0,0,0
590,3,0,42,1,1,0,0,0,0,0,0,0
591,4,0,50,1,1,0,0,0,0,1,0,0
592,4,0,46,0,0,0,0,0,0,0,1,0
593,7,1,46,0,1,0,0,0,0,0,1,0
596,3,1,37,0,0,1,0,0,0,0,0,0
598,5,1,51,1,0,0,0,0,0,1,0,0
599,6,1,39,1,1,1,0,0,0,0,0,0
600,3,0,39,1,0,0,0,0,0,0,1,0
601,1,1,36,0,0,0,0,0,1,0,0,0
602,4,1,52,0,1,0,0,0,0,0,0,0
603,8,0,38,1,1,0,1,0,0,0,0,0
604,4,0,41,0,0,0,0,0,0,0,1,0
605,4,1,43,0,1,0,1,0,0,0,0,0
607,4,1,36,0,0,1,0,0,0,0,0,0
609,4,0,46,1,1,0,0,0,1,0,0,0
610,1,0,43,0,0,0,1,0,0,0,0,0
611,1,1,45,1,1,0,0,0,0,0,1,0
612,6,1,41,1,0,0,0,0,0,0,0,1
613,5,1,42,1,0,0,0,0,0,0,1,0
614,7,1,31,0,0,0,0,1,0,0,0,0
615,4,1,35,1,1,0,0,1,0,0,0,0
616,4,1,40,0,0,0,0,0,0,0,1,0
617,3,1,40,0,1,0,0,0,0,0,0,0
618,4,0,37,1,0,0,0,0,1,0,0,0
619,3,1,36,0,1,0,0,0,0,1,0,0
620,5,1,41,0,1,0,0,0,0,0,1,0
621,4,0,41,1,1,0,1,0,0,0,0,0
622,2,1,34,1,0,0,0,0,0,0,0,0
623,1,1,45,0,1,1,0,0,0,0,0,0
624,5,0,41,1,1,0,0,0,0,0,1,0
625,1,1,37,0,1,0,0,0,0,0,1,0
626,4,0,43,0,0,0,0,0,0,0,1,0
627,4,0,35,0,1,0,0,0,0,0,1,0
628,6,0,47,1,1,0,0,0,0,0,0,0
629,7,1,46,0,1,0,1,0,0,0,0,0
630,3,0,28,1,0,1,0,0,0,0,0,0
631,3,0,40,1,0,0,0,0,0,0,0,1
633,4,0,49,1,1,0,0,0,1,0,0,0
634,1,1,48,0,1,0,0,0,0,0,1,0
635,5,0,40,0,1,0,0,1,0,0,0,0
637,2,1,34,1,1,0,0,0,0,0,1,0
638,3,0,39,0,1,0,0,0,0,0,0,0
639,5,1,40,1,1,0,0,0,0,0,0,1
640,5,1,42,1,0,0,0,0,0,0,1,0
641,3,1,36,1,1,0,0,0,0,0,1,0
642,3,0,40,0,0,0,0,1,0,0,0,0
643,6,1,40,0,0,0,0,1,0,0,0,0
